player_id,team_id,start_season,end_season
1628975,1610612756,2020,2020
1628976,1610612741,2020,2020
1628976,1610612753,2020,2024
1630618,1610612761,2023,2024
1627936,1610612741,2021,2023
1627936,1610612747,2020,2020
1627936,1610612760,2024,2024
1642264,1610612759,2024,2024
1630658,1610612747,2023,2023
1630658,1610612755,2024,2024
1630658,1610612761,2024,2024
1630658,1610612763,2024,2024
1630577,1610612755,2022,2022
1630577,1610612759,2022,2024
1630551,1610612738,2022,2022
1630551,1610612761,2021,2022
1630551,1610612764,2023,2024
1642279,1610612761,2024,2024
1642353,1610612746,2024,2024
1631108,1610612742,2024,2024
1631108,1610612747,2022,2024
1630528,1610612745,2021,2022
1630528,1610612748,2024,2024
1631321,1610612757,2024,2024
1631321,1610612759,2023,2024
1641740,1610612750,2024,2024
1629634,1610612763,2020,2024
203903,1610612762,2020,2024
1629651,1610612751,2020,2024
1642270,1610612757,2024,2024
1641730,1610612751,2023,2024
1629599,1610612746,2020,2024
1642268,1610612762,2024,2024
1628381,1610612737,2020,2022
1628381,1610612762,2023,2024
1641879,1610612744,2024,2024
1628380,1610612741,2024,2024
1628380,1610612757,2019,2019
1628380,1610612759,2021,2024
201144,1610612750,2022,2024
201144,1610612762,2020,2022
1626192,1610612749,2020,2024
1641731,1610612764,2023,2024
1641741,1610612755,2023,2024
1628470,1610612738,2024,2024
1628470,1610612741,2023,2024
1628470,1610612749,2020,2020
1628470,1610612754,2021,2021
1628470,1610612756,2020,2022
1642384,1610612758,2024,2024
203109,1610612749,2022,2023
203109,1610612756,2020,2021
203109,1610612758,2024,2024
1630595,1610612765,2021,2024
203552,1610612742,2023,2023
203552,1610612751,2021,2022
203552,1610612755,2020,2021
203552,1610612766,2023,2024
201939,1610612744,2020,2024
1642359,1610612752,2024,2024
1630700,1610612737,2024,2024
1630700,1610612740,2022,2023
1642368,1610612745,2024,2024
203076,1610612742,2024,2024
203076,1610612747,2020,2024
1631098,1610612764,2022,2024
1631120,1610612738,2022,2024
201942,1610612741,2021,2023
201942,1610612758,2024,2024
201942,1610612759,2020,2020
1642484,1610612754,2024,2024
1628978,1610612744,2022,2022
1628978,1610612749,2020,2021
1628978,1610612750,2024,2024
1628978,1610612752,2023,2023
1628978,1610612758,2021,2021
1631217,1610612746,2022,2023
1631217,1610612766,2024,2024
1641711,1610612761,2023,2024
1631172,1610612760,2022,2024
1642265,1610612750,2024,2024
203915,1610612742,2021,2024
203915,1610612747,2023,2023
203915,1610612751,2020,2023
203915,1610612764,2021,2021
1629029,1610612742,2020,2024
1629029,1610612747,2024,2024
1629652,1610612760,2020,2024
1630245,1610612741,2021,2024
1630288,1610612744,2021,2021
1630288,1610612749,2021,2021
1630288,1610612753,2021,2021
1630288,1610612755,2023,2024
1630288,1610612761,2022,2022
1628408,1610612743,2019,2021
1628408,1610612750,2024,2024
1628408,1610612758,2022,2022
203083,1610612739,2020,2020
203083,1610612741,2022,2023
203083,1610612747,2020,2020
203083,1610612751,2021,2021
203083,1610612755,2021,2024
1630537,1610612741,2024,2024
1630537,1610612754,2021,2022
1630537,1610612758,2023,2023
1642505,1610612760,2024,2024
1630561,1610612751,2021,2022
1630561,1610612759,2023,2024
1627739,1610612737,2020,2020
1627739,1610612746,2024,2024
1627739,1610612757,2021,2021
1627739,1610612762,2022,2023
1642346,1610612756,2024,2024
201142,1610612751,2020,2022
201142,1610612756,2022,2024
1631105,1610612765,2022,2024
1631106,1610612745,2022,2024
1641744,1610612763,2024,2024
1630162,1610612750,2020,2024
1642399,1610612750,2024,2024
1642348,1610612755,2024,2024
1630556,1610612742,2024,2024
1630556,1610612751,2021,2022
1630556,1610612758,2022,2023
1631165,1610612758,2022,2024
203954,1610612755,2020,2024
1630623,1610612751,2024,2024
1629234,1610612746,2024,2024
1629234,1610612756,2023,2023
1629234,1610612757,2021,2022
1629234,1610612759,2020,2021
1629234,1610612762,2024,2024
1641787,1610612751,2024,2024
1641787,1610612763,2023,2023
1641787,1610612765,2023,2023
203957,1610612739,2019,2020
203957,1610612742,2023,2024
203957,1610612762,2018,2019
1628981,1610612737,2020,2023
1628981,1610612738,2021,2021
1628981,1610612745,2021,2022
1628981,1610612761,2024,2024
1642271,1610612762,2024,2024
1627827,1610612742,2020,2022
1627827,1610612747,2024,2024
1627827,1610612751,2022,2024
1641745,1610612760,2023,2024
1642280,1610612746,2024,2024
1630201,1610612752,2023,2023
1630201,1610612761,2020,2023
1630201,1610612765,2023,2023
1630201,1610612766,2024,2024
1631323,1610612762,2022,2023
1631323,1610612765,2023,2024
1628368,1610612758,2020,2024
1628368,1610612759,2024,2024
1642402,1610612754,2024,2024
1628365,1610612753,2020,2023
1628365,1610612758,2024,2024
1642277,1610612754,2024,2024
1629655,1610612741,2020,2020
1629655,1610612742,2023,2024
1629655,1610612764,2020,2023
1629636,1610612739,2020,2024
1630585,1610612748,2021,2021
1630585,1610612766,2024,2024
1630568,1610612750,2022,2024
1630568,1610612765,2021,2021
1641718,1610612762,2023,2024
1642273,1610612764,2024,2024
202331,1610612746,2020,2023
202331,1610612755,2024,2024
201959,1610612752,2020,2023
201959,1610612764,2022,2022
201959,1610612765,2023,2023
201959,1610612766,2024,2024
1630581,1610612741,2024,2024
1630581,1610612760,2021,2023
1628983,1610612760,2020,2024
1630264,1610612764,2020,2024
1631221,1610612743,2023,2023
1631221,1610612756,2024,2024
