player_id,player_name,birth_date,position,is_active,weight,height,draft_year
203954,Joel Embiid,1994-03-16T00:00:00,Center-Forward,1,280,7-0,2014
1630623,Tyson Etienne,1999-09-17T00:00:00,Guard,1,200,6-2,Undrafted
1629234,Drew Eubanks,1997-02-01T00:00:00,Forward-Center,1,245,6-10,Undrafted
1641787,Tosan Evbuomwan,2001-02-16T00:00:00,Forward,1,217,6-7,Undrafted
203957,Danté Exum,1995-07-13T00:00:00,Guard,1,214,6-5,2014
1628981,Bruno Fernando,1998-08-15T00:00:00,Forward-Center,0,240,6-9,2019
1642271,Kyle Filipowski,2003-11-07T00:00:00,Center,1,250,6-11,2024
1627827,Dorian Finney-Smith,1993-05-04T00:00:00,Forward,1,220,6-7,Undrafted
1641745,Adam Flagler,1999-12-01T00:00:00,Guard,1,180,6-3,Undrafted
1642280,Trentyn Flowers,2005-03-08T00:00:00,Forward,1,185,6-9,Undrafted
1630201,Malachi Flynn,1998-05-09T00:00:00,Guard,0,185,6-1,2020
1631323,Simone Fontecchio,1995-12-09T00:00:00,Forward,1,209,6-7,Undrafted
1628368,De'Aaron Fox,1997-12-20T00:00:00,Guard,1,185,6-3,2017
1642402,Enrique Freeman,2000-07-29T00:00:00,Forward,1,220,6-7,2024
1628365,Markelle Fultz,1998-05-29T00:00:00,Guard,1,209,6-4,2017
1642277,Johnny Furphy,2004-12-08T00:00:00,Guard,1,200,6-9,2024
1629655,Daniel Gafford,1998-10-01T00:00:00,Forward-Center,1,265,6-10,2019
1629636,Darius Garland,2000-01-26T00:00:00,Guard,1,192,6-1,2019
1630585,Marcus Garrett,1998-11-09T00:00:00,Guard,0,205,6-5,Undrafted
1630568,Luka Garza,1998-12-27T00:00:00,Center,1,243,6-10,2021
1641718,Keyonte George,2003-11-08T00:00:00,Guard,1,185,6-4,2023
1642273,Kyshawn George,2003-12-12T00:00:00,Forward,1,200,6-8,2024
202331,Paul George,1990-05-02T00:00:00,Forward,1,220,6-8,2010
